NUM_TRIALS,MIN_BITS,MAX_BITS
10,16,64
q,a,b,time (s)
4172463763397,1269701243473,28036912138,1.141298
7340378005921,1744985624566,5415137068783,0.812094
5559041530309,2592065945788,89180124468,0.612908
6455386580207,5815858222717,2204123276706,1.056447
8581572733439,6686066558087,7474534742044,1.007349
7939826700263,7111022521353,7594500364745,0.926867
5940382347227,420426086194,2731371355774,0.717005
5961909104303,5673259011711,4507538534049,0.931908
6918749275663,195283548634,5319764410531,0.830570
5589892582097,5390938311440,3315840981807,1.025872
6804708600013,3013299161391,5433890945587,1.005670
17453295987947,15706220327711,16481289931887,0.985296
13205921538737,6268923186651,4301143076933,0.597764
13923114770219,5923168477176,6571199681878,0.703166
15690726099397,3872634708452,160390553936,0.918660
13990051589989,12514996038419,11641971363204,0.815973
14937849209057,9842291616363,3915199262275,1.006230
9922226053627,686528223285,8249761829442,0.997836
14009882580973,9591600128443,4750795804975,0.980873
14201038775821,12024819132477,11041852118025,0.959393
9549743351483,4386188518498,1688327072116,0.865406
32488158526627,4759219946360,25434598613472,1.021239
34554868206497,5963570058159,17251183479820,0.793525
30755268140083,2174411454609,21912184922893,0.753481
26537724586073,24237380011251,532971789566,0.822985
28501363579033,17749832673233,9159370334630,1.064673
32921464469939,5908977834094,16671796510561,1.023492
22019920516283,15637877283484,4645233846849,1.042925
27866060968433,5462321933982,1682431686263,0.811065
27383366535611,12539635536752,9123512959126,0.933722
20876663028731,15713158143722,16685423499951,0.976537
54212316826279,33352444159054,51807050563988,1.259268
55125693522083,54079360541794,46048739103767,0.721564
60913444297399,52187140106998,22761468129107,0.814901
56443605424343,37368697050940,44798531408132,0.882153
37606896050029,4868873586733,16473729657235,1.051031
62650865849239,13972176316004,43277457034119,0.865342
63770277841979,24516556453149,33254388815142,0.905632
57706131234247,24278903395227,39095050860697,1.230735
38061895243643,31494527559351,26874208772504,1.172170
48623391410329,43443444286108,12915689821601,0.804878
130974756418871,56408279200580,91234965476537,1.020742
95217357686741,23376657915863,75097315954038,1.112903
133863255253751,100079975860209,22701861806266,0.869356
74630660308177,65215969644419,766561691328,1.021748
135861506476217,87940792735436,110226260107410,1.000968
139101622954013,134720270542874,23691600930330,1.103985
131366364037523,86797540042675,2370859419320,0.852424
113407073379029,67700885436071,58309419969555,0.864764
108712721281741,52530954715392,54665875627496,1.141632
104741105839939,43692079632887,15970480368042,0.917876
250461229554857,116212663793065,135728238955167,0.967576
152828364414347,76223995043006,149643209092092,1.180985
150431710103761,81904988609488,49414181509663,1.068337
258567173094383,200639118513766,175738697542681,1.123602
200224159283297,55278757175918,16990985227934,1.007793
194005918545511,608601863781,163528612301534,0.881674
199623799382083,705903598246,107280838619311,1.001311
212672783340991,14086005097857,174286055212729,1.067557
173321666236001,71586277952499,78656749431637,0.953810
263609261771503,21353912097666,76453037696739,0.921498
421111619307671,346100079530255,248284979918079,1.026922
292524501803791,286027741713034,177910710366193,0.982223
428535406426469,195538837154884,179715858098448,1.086421
351496640419289,40363065005892,320017339841098,1.142211
334159629440779,222107151896142,280743708940360,0.912510
472805291405753,61279501375378,42221334713353,1.009117
285150728113931,60901918446563,192999207250349,1.175764
332176446855083,288751144469707,224619572653245,0.715359
488659441126529,315353515994073,473519967393047,0.974355
